iter	Passed	Remaining
0	139	139243
1	140	70114
2	142	47291
3	143	35693
4	144	28749
5	145	24123
6	146	20830
7	147	18334
8	148	16392
9	149	14836
10	150	13563
11	151	12506
12	152	11610
13	154	10866
14	155	10217
15	156	9644
16	158	9137
17	159	8687
18	160	8275
19	161	7902
20	162	7574
21	163	7268
22	164	6985
23	165	6728
24	166	6489
25	167	6278
26	169	6093
27	170	5908
28	171	5735
29	172	5573
30	173	5425
31	174	5280
32	175	5151
33	176	5026
34	177	4906
35	179	4797
36	180	4692
37	182	4618
38	183	4521
39	184	4428
40	185	4337
41	186	4263
42	188	4186
43	189	4109
44	190	4035
45	191	3979
46	193	3915
47	194	3849
48	195	3786
49	196	3726
50	197	3675
51	198	3621
52	199	3567
53	200	3516
54	201	3465
55	202	3419
56	203	3371
57	211	3434
58	212	3392
59	213	3348
60	214	3304
61	215	3263
62	216	3222
63	217	3183
64	218	3146
65	220	3119
66	221	3085
67	222	3050
68	223	3020
69	225	2990
70	226	2959
71	227	2929
72	228	2899
73	229	2870
74	230	2842
75	231	2814
76	232	2787
77	233	2765
78	235	2742
79	236	2716
80	237	2695
81	238	2670
82	239	2641
83	240	2617
84	241	2595
85	242	2573
86	243	2551
87	244	2529
88	245	2509
89	246	2489
90	247	2475
91	249	2461
92	250	2441
93	251	2423
94	252	2406
95	253	2389
96	254	2372
97	256	2356
98	257	2340
99	258	2324
100	259	2309
101	260	2293
102	261	2278
103	263	2266
104	264	2250
105	265	2235
106	266	2220
107	267	2206
108	268	2193
109	269	2181
110	270	2167
111	271	2154
112	272	2141
113	273	2128
114	274	2115
115	276	2105
116	277	2093
117	278	2081
118	279	2069
119	280	2058
120	281	2047
121	282	2035
122	283	2024
123	284	2011
124	285	2000
125	286	1990
126	287	1978
127	288	1968
128	289	1958
129	291	1953
130	293	1943
131	294	1933
132	295	1923
133	296	1915
134	297	1905
135	298	1896
136	299	1887
137	300	1878
138	301	1869
139	302	1860
140	303	1851
141	304	1840
142	306	1834
143	307	1826
144	308	1817
145	309	1809
146	310	1800
147	311	1792
148	312	1784
149	313	1775
150	314	1768
151	315	1760
152	316	1751
153	317	1743
154	318	1735
155	319	1729
156	321	1723
157	322	1716
158	323	1709
159	323	1700
160	324	1691
161	325	1683
162	326	1675
163	327	1668
164	328	1660
165	328	1652
166	329	1644
167	330	1637
168	331	1629
169	332	1623
170	333	1618
171	335	1613
172	336	1607
173	337	1601
174	338	1595
175	339	1589
176	340	1582
177	341	1577
178	342	1571
179	343	1565
180	344	1558
181	345	1553
182	346	1547
183	347	1541
184	349	1537
185	349	1531
186	350	1525
187	351	1519
188	352	1512
189	353	1506
190	354	1501
191	355	1496
192	356	1491
193	357	1486
194	358	1481
195	359	1476
196	361	1471
197	362	1466
198	363	1464
199	364	1459
200	365	1454
201	367	1449
202	368	1445
203	369	1440
204	370	1436
205	371	1431
206	372	1427
207	373	1422
208	374	1417
209	375	1412
210	377	1410
211	378	1406
212	379	1401
213	380	1396
214	381	1392
215	382	1388
216	383	1384
217	384	1380
218	385	1375
219	386	1371
220	388	1367
221	389	1363
222	390	1359
223	391	1356
224	392	1353
225	393	1348
226	394	1344
227	395	1340
228	397	1336
229	398	1333
230	399	1329
231	400	1325
232	401	1322
233	402	1318
234	403	1314
235	404	1310
236	406	1309
237	407	1305
238	409	1303
239	410	1300
240	411	1297
241	413	1294
242	414	1291
243	415	1288
244	417	1285
245	418	1281
246	419	1279
247	421	1277
248	422	1274
249	423	1271
250	425	1269
251	426	1267
252	428	1264
253	429	1262
254	431	1260
255	432	1256
256	434	1254
257	435	1252
258	437	1250
259	438	1248
260	439	1245
261	441	1243
262	442	1240
263	443	1237
264	445	1234
265	446	1232
266	447	1229
267	449	1227
268	450	1224
269	451	1220
270	452	1217
271	453	1214
272	454	1211
273	456	1208
274	457	1205
275	458	1201
276	459	1198
277	460	1195
278	461	1191
279	462	1189
280	463	1187
281	465	1184
282	465	1180
283	466	1176
284	467	1173
285	468	1170
286	469	1166
287	470	1163
288	471	1160
289	472	1157
290	473	1154
291	474	1151
292	476	1149
293	478	1148
294	479	1145
295	480	1143
296	481	1140
297	482	1137
298	483	1134
299	485	1131
300	486	1129
301	487	1126
302	488	1124
303	489	1121
304	490	1118
305	492	1116
306	493	1114
307	494	1111
308	496	1109
309	497	1106
310	498	1103
311	499	1101
312	500	1098
313	501	1095
314	502	1092
315	503	1089
316	504	1087
317	505	1084
318	507	1083
319	508	1081
320	510	1078
321	511	1076
322	512	1073
323	513	1070
324	514	1067
325	515	1065
326	516	1062
327	517	1059
328	517	1056
329	518	1053
330	519	1050
331	521	1049
332	522	1046
333	523	1044
334	524	1041
335	525	1038
336	526	1036
337	527	1033
338	528	1030
339	529	1027
340	530	1024
341	531	1021
342	532	1019
343	532	1016
344	533	1013
345	536	1013
346	537	1011
347	538	1009
348	539	1006
349	540	1004
350	541	1001
351	542	998
352	543	996
353	544	993
354	545	990
355	546	988
356	547	985
357	548	983
358	551	983
359	552	981
360	553	978
361	554	976
362	555	974
363	556	971
364	557	969
365	557	966
366	558	963
367	559	961
368	560	958
369	561	956
370	562	954
371	565	953
372	566	951
373	567	949
374	568	947
375	569	944
376	570	942
377	571	939
378	572	937
379	573	934
380	573	932
381	575	930
382	576	928
383	577	926
384	580	926
385	581	924
386	582	922
387	583	920
388	584	917
389	585	915
390	586	913
391	587	911
392	588	909
393	589	907
394	590	904
395	591	902
